Date,Value
1978-08-01,175.19
1978-09-01,177.42
1978-10-01,174.17
1978-11-01,168.22
1978-12-01,173.91
1979-01-01,178.58
1979-02-01,175.38
1979-03-01,182.93
1979-04-01,182.89
1979-05-01,179.94
1979-06-01,185.35
1979-07-01,186.96
1979-08-01,194.69
1979-09-01,199.31
1979-10-01,184.70
1979-11-01,190.62
1979-12-01,195.95
1980-01-01,207.99
1980-02-01,208.34
1980-03-01,186.16
1980-04-01,198.61
1980-05-01,208.66
1980-06-01,218.94
1980-07-01,225.93
1980-08-01,230.62
1980-09-01,237.83
1980-10-01,245.04
1980-11-01,255.56
1980-12-01,250.27
1981-01-01,243.28
1981-02-01,244.28
1981-03-01,253.26
1981-04-01,253.65
1981-05-01,248.95
1981-06-01,248.82
1981-07-01,244.86
1981-08-01,240.32
1981-09-01,222.53
1981-10-01,229.62
1981-11-01,246.96
1981-12-01,242.00
1982-01-01,238.72
1982-02-01,224.50
1982-03-01,218.59
1982-04-01,229.57
1982-05-01,223.96
1982-06-01,214.09
1982-07-01,211.56
1982-08-01,227.13
1982-09-01,228.41
1982-10-01,244.33
1982-11-01,257.49
1982-12-01,269.28
1983-01-01,275.25
1983-02-01,281.25
1983-03-01,291.37
1983-04-01,312.40
1983-05-01,309.57
1983-06-01,319.53
1983-07-01,314.06
1983-08-01,315.98
1983-09-01,322.61
1983-10-01,319.05
1983-11-01,327.54
1983-12-01,331.96
1984-01-01,334.96
1984-02-01,329.68
1984-03-01,345.40
1984-04-01,344.37
1984-05-01,318.78
1984-06-01,321.75
1984-07-01,310.66
1984-08-01,342.06
1984-09-01,340.98
1984-10-01,344.84
1984-11-01,343.76
1984-12-01,351.13
1985-01-01,370.71
1985-02-01,371.62
1985-03-01,384.71
1985-04-01,383.85
1985-05-01,403.77
1985-06-01,411.17
1985-07-01,419.85
1985-08-01,423.48
1985-09-01,426.84
1985-10-01,450.01
1985-11-01,475.35
1985-12-01,497.80
1986-01-01,505.36
1986-02-01,551.09
1986-03-01,605.13
1986-04-01,621.96
1986-05-01,620.34
1986-06-01,645.40
1986-07-01,650.76
1986-08-01,707.79
1986-09-01,679.86
1986-10-01,668.35
1986-11-01,696.79
1986-12-01,710.85
1987-01-01,794.53
1987-02-01,820.89
1987-03-01,871.90
1987-04-01,923.20
1987-05-01,924.65
1987-06-01,924.28
1987-07-01,942.91
1987-08-01,998.80
1987-09-01,981.57
1987-10-01,815.07
1987-11-01,795.40
1987-12-01,830.01
1988-01-01,850.43
1988-02-01,899.94
1988-03-01,927.28
1988-04-01,939.15
1988-05-01,920.55
1988-06-01,919.44
1988-07-01,936.90
1988-08-01,885.60
1988-09-01,923.33
1988-10-01,984.96
1988-11-01,1019.42
1988-12-01,1028.81
1989-01-01,1066.21
1989-02-01,1059.67
1989-03-01,1053.05
1989-04-01,1077.53
1989-05-01,1051.29
1989-06-01,1039.60
1989-07-01,1157.25
1989-08-01,1129.42
1989-09-01,1161.50
1989-10-01,1122.95
1989-11-01,1167.97
1989-12-01,1205.70
1990-01-01,1149.59
1990-02-01,1100.48
1990-03-01,1034.21
1990-04-01,1019.49
1990-05-01,1127.04
1990-06-01,1119.20
1990-07-01,1129.59
1990-08-01,1024.05
1990-09-01,916.25
1990-10-01,1001.98
1990-11-01,985.71
1990-12-01,1006.55
1991-01-01,1043.55
1991-02-01,1140.34
1991-03-01,1106.91
1991-04-01,1115.75
1991-05-01,1141.22
1991-06-01,1070.95
1991-07-01,1121.71
1991-08-01,1118.34
1991-09-01,1147.86
1991-10-01,1166.66
1991-11-01,1116.02
1991-12-01,1197.46
1992-01-01,1175.49
1992-02-01,1155.40
1992-03-01,1101.17
1992-04-01,1116.72
1992-05-01,1161.34
1992-06-01,1122.65
1992-07-01,1125.72
1992-08-01,1153.31
1992-09-01,1142.95
1992-10-01,1112.19
1992-11-01,1132.30
1992-12-01,1141.66
1993-01-01,1145.69
1993-02-01,1173.04
1993-03-01,1241.27
1993-04-01,1299.02
1993-05-01,1329.17
1993-06-01,1318.23
1993-07-01,1345.60
1993-08-01,1407.50
1993-09-01,1381.72
1993-10-01,1420.02
1993-11-01,1339.92
1993-12-01,1405.71
1994-01-01,1498.66
1994-02-01,1479.51
1994-03-01,1415.97
1994-04-01,1459.99
1994-05-01,1464.00
1994-06-01,1460.19
1994-07-01,1488.21
1994-08-01,1533.29
1994-09-01,1493.27
1994-10-01,1536.02
1994-11-01,1469.67
1994-12-01,1484.18
1995-01-01,1462.17
1995-02-01,1483.77
1995-03-01,1555.59
1995-04-01,1610.11
1995-05-01,1624.19
1995-06-01,1624.01
1995-07-01,1705.58
1995-08-01,1667.89
1995-09-01,1716.80
1995-10-01,1690.09
1995-11-01,1749.09
1995-12-01,1800.55
1996-01-01,1833.45
1996-02-01,1844.95
1996-03-01,1875.99
1996-04-01,1920.44
1996-05-01,1922.45
1996-06-01,1932.51
1996-07-01,1864.57
1996-08-01,1886.35
1996-09-01,1960.56
1996-10-01,1974.60
1996-11-01,2085.61
1996-12-01,2052.56
1997-01-01,2077.65
1997-02-01,2101.90
1997-03-01,2060.68
1997-04-01,2128.40
1997-05-01,2260.16
1997-06-01,2373.25
1997-07-01,2482.91
1997-08-01,2317.18
1997-09-01,2443.43
1997-10-01,2315.20
1997-11-01,2356.54
1997-12-01,2385.63
1998-01-01,2452.49
1998-02-01,2618.78
1998-03-01,2729.76
1998-04-01,2756.84
1998-05-01,2722.70
1998-06-01,2787.71
1998-07-01,2783.64
1998-08-01,2412.84
1998-09-01,2455.93
1998-10-01,2678.37
1998-11-01,2838.07
1998-12-01,2977.15
1999-01-01,3042.76
1999-02-01,2962.24
1999-03-01,3086.01
1999-04-01,3208.09
1999-05-01,3091.30
1999-06-01,3235.91
1999-07-01,3226.65
1999-08-01,3221.38
1999-09-01,3190.57
1999-10-01,3356.86
1999-11-01,3451.73
1999-12-01,3731.56
2000-01-01,3518.29
2000-02-01,3528.22
2000-03-01,3772.52
2000-04-01,3613.44
2000-05-01,3522.40
2000-06-01,3641.50
2000-07-01,3539.43
2000-08-01,3655.01
2000-09-01,3461.09
2000-10-01,3403.54
2000-11-01,3197.34
2000-12-01,3249.51
2001-01-01,3312.63
2001-02-01,3033.04
2001-03-01,2834.40
2001-04-01,3044.61
2001-05-01,3006.80
2001-06-01,2913.02
2001-07-01,2874.66
2001-08-01,2737.23
2001-09-01,2496.40
2001-10-01,2544.47
2001-11-01,2695.39
2001-12-01,2712.66
2002-01-01,2630.77
2002-02-01,2608.41
2002-03-01,2724.27
2002-04-01,2632.75
2002-05-01,2638.86
2002-06-01,2479.28
2002-07-01,2270.61
2002-08-01,2275.34
2002-09-01,2025.61
2002-10-01,2175.47
2002-11-01,2293.25
2002-12-01,2182.57
2003-01-01,2116.62
2003-02-01,2080.38
2003-03-01,2074.67
2003-04-01,2259.96
2003-05-01,2390.22
2003-06-01,2432.47
2003-07-01,2482.33
2003-08-01,2536.55
2003-09-01,2552.64
2003-10-01,2704.63
2003-11-01,2746.46
2003-12-01,2919.44
2004-01-01,2966.93
2004-02-01,3017.68
2004-03-01,2998.83
2004-04-01,2939.08
2004-05-01,2967.88
2004-06-01,3030.09
2004-07-01,2931.96
2004-08-01,2946.02
2004-09-01,3002.70
2004-10-01,3076.90
2004-11-01,3239.89
2004-12-01,3364.56
2005-01-01,3289.44
2005-02-01,3395.13
2005-03-01,3330.64
2005-04-01,3260.39
2005-05-01,3320.82
2005-06-01,3351.02
2005-07-01,3468.82
2005-08-01,3496.58
2005-09-01,3588.41
2005-10-01,3502.06
2005-11-01,3620.66
2005-12-01,3701.80
2006-01-01,3867.81
2006-02-01,3863.68
2006-03-01,3950.38
2006-04-01,4072.43
2006-05-01,3936.96
2006-06-01,3937.43
2006-07-01,3962.86
2006-08-01,4067.75
2006-09-01,4117.43
2006-10-01,4269.39
2006-11-01,4376.15
2006-12-01,4466.30
2007-01-01,4519.91
2007-02-01,4498.26
2007-03-01,4582.51
2007-04-01,4787.32
2007-05-01,4926.19
2007-06-01,4889.92
2007-07-01,4782.62
2007-08-01,4781.07
2007-09-01,5010.07
2007-10-01,5164.82
2007-11-01,4956.05
2007-12-01,4893.54
2008-01-01,4520.67
2008-02-01,4496.69
2008-03-01,4455.80
2008-04-01,4693.58
2008-05-01,4770.99
2008-06-01,4392.17
2008-07-01,4285.97
2008-08-01,4227.71
2008-09-01,3726.69
2008-10-01,3021.07
2008-11-01,2827.61
2008-12-01,2919.78
2009-01-01,2664.85
2009-02-01,2393.87
2009-03-01,2575.82
2009-04-01,2867.37
2009-05-01,3130.79
2009-06-01,3117.98
2009-07-01,3383.01
2009-08-01,3524.07
2009-09-01,3665.76
2009-10-01,3601.32
2009-11-01,3750.31
2009-12-01,3818.86
2010-01-01,3661.75
2010-02-01,3714.83
2010-03-01,3946.96
2010-04-01,3949.72
2010-05-01,3575.14
2010-06-01,3453.89
2010-07-01,3734.82
2010-08-01,3596.90
2010-09-01,3933.68
2010-10-01,4081.19
2010-11-01,3994.99
2010-12-01,4290.05
2011-01-01,4387.97
2011-02-01,4543.55
2011-03-01,4500.82
2011-04-01,4694.88
2011-05-01,4602.24
2011-06-01,4531.21
2011-07-01,4450.25
2011-08-01,4138.56
2011-09-01,3782.76
2011-10-01,4175.10
2011-11-01,4075.56
2011-12-01,4074.83
2012-01-01,4280.52
2012-02-01,4491.98
2012-03-01,4552.20
2012-04-01,4503.68
2012-05-01,4119.21
2012-06-01,4331.15
2012-07-01,4388.04
2012-08-01,4501.50
2012-09-01,4627.18
2012-10-01,4597.23
2012-11-01,4658.58
2012-12-01,4748.70
2013-01-01,4992.06
2013-02-01,5002.80
2013-03-01,5122.56
2013-04-01,5287.52
2013-05-01,5294.22
2013-06-01,5165.88
2013-07-01,5439.35
2013-08-01,5325.89
2013-09-01,5594.34
2013-10-01,5814.65
2013-11-01,5920.68
2013-12-01,6048.18
2014-01-01,5825.53
2014-02-01,6120.25
2014-03-01,6132.59
2014-04-01,6198.80
2014-05-01,6326.60
2014-06-01,6442.50
2014-07-01,6341.23
2014-08-01,6483.57
2014-09-01,6310.27
2014-10-01,6352.60
2014-11-01,6482.90
2014-12-01,6381.05
2015-01-01,6266.93
2015-02-01,6637.22
2015-03-01,6537.62
2015-04-01,6694.31
2015-05-01,6723.06
2015-06-01,6569.47
2015-07-01,6689.58
2015-08-01,6249.65
2015-09-01,6021.95
2015-10-01,6500.91
2015-11-01,6471.72
2015-12-01,6360.57
2016-01-01,5981.67
2016-02-01,5940.80
2016-03-01,6348.30
2016-04-01,6452.78
2016-05-01,6494.94
2016-06-01,6425.28
2016-07-01,6698.47
2016-08-01,6707.42
2016-09-01,6746.08
2016-10-01,6617.26
2016-11-01,6716.02
2016-12-01,6879.16
2017-01-01,7046.80
2017-02-01,7245.76
2017-03-01,7328.14
2017-04-01,7440.26
2017-05-01,7604.86
2017-06-01,7637.02
2017-07-01,7822.15
2017-08-01,7837.11
2017-09-01,8016.09
2017-10-01,8169.60
2017-11-01,8350.80
2017-12-01,8466.34

